date,year,month,revenue_million,subscriptions_million,marketing_spend_million,ad_spend_million,avg_watch_time_hours,customer_satisfaction,competitor_price_index,gdp_growth,orders,average_order_value,content_genre,subscription_type,region,stock_price,stock_price_next_month,performance_up_next_month
2016-04-30,2016,4,7891.37,76.45,275.52,183.72,1.65,3.92,1.13,4.26,637083,12386.72,Reality,Basic,Middle East & Africa,361.84,362.8,1
2016-05-31,2016,5,7760.21,74.82,391.01,191.69,2.19,4.9,0.96,2.5,623500,12446.21,Kids,Standard,North America,362.8,364.17,1
2016-06-30,2016,6,8162.34,75.22,353.35,245.0,4.19,3.54,1.04,5.65,626833,13021.55,Movies,Premium,Latin America,364.17,365.98,1
2016-07-31,2016,7,7799.66,75.62,331.33,214.86,2.27,4.55,1.18,5.86,630166,12377.15,Reality,Standard,North America,365.98,365.58,0
2016-08-31,2016,8,7652.38,77.18,348.35,233.44,2.16,4.59,1.12,-1.06,643166,11897.99,Movies,Premium,Asia-Pacific,365.58,367.21,1
2016-09-30,2016,9,8519.77,77.45,531.22,255.41,1.91,4.75,1.05,5.07,645416,13200.43,Kids,Basic,Europe,367.21,367.14,0
2016-10-31,2016,10,8016.35,75.32,575.23,272.44,4.08,4.96,1.07,-1.2,627666,12771.68,Documentary,Premium,Asia-Pacific,367.14,367.7,1
2016-11-30,2016,11,8108.35,76.49,391.79,162.78,3.0,4.96,1.12,1.44,637416,12720.66,Documentary,Standard,Asia-Pacific,367.7,368.49,1
2016-12-31,2016,12,7664.67,80.9,567.14,207.6,3.52,3.6,0.9,2.84,674166,11369.11,Reality,Premium,Middle East & Africa,368.49,368.86,1
2017-01-31,2017,1,7932.78,80.14,362.52,268.02,2.22,4.73,0.93,-0.32,667833,11878.39,Series,Premium,Asia-Pacific,368.86,369.78,1
2017-02-28,2017,2,8133.38,77.62,416.75,297.89,3.77,4.47,1.25,4.47,646833,12574.16,Kids,Standard,Latin America,369.78,369.48,0
2017-03-31,2017,3,7758.81,76.9,329.11,277.9,3.78,4.47,0.93,-1.43,640833,12107.38,Reality,Premium,Asia-Pacific,369.48,369.04,0
2017-04-30,2017,4,8220.82,77.13,474.17,174.29,2.44,3.69,1.18,-0.15,642750,12790.07,Reality,Standard,Latin America,369.04,369.06,1
2017-05-31,2017,5,7931.92,78.19,592.64,139.03,2.73,4.48,1.27,3.15,651583,12173.31,Documentary,Basic,North America,369.06,370.52,1
2017-06-30,2017,6,8028.61,74.99,461.22,197.88,2.13,4.97,1.01,4.22,624916,12847.5,Movies,Premium,Middle East & Africa,370.52,372.13,1
2017-07-31,2017,7,7939.61,76.59,375.23,248.33,4.43,4.87,1.05,5.83,638250,12439.66,Kids,Basic,Latin America,372.13,372.57,1
2017-08-31,2017,8,8679.81,73.84,476.74,198.51,3.44,4.16,1.13,4.14,615333,14105.87,Movies,Premium,Asia-Pacific,372.57,373.53,1
2017-09-30,2017,9,8124.08,78.04,293.02,196.64,4.3,3.56,1.25,3.87,650333,12492.18,Kids,Premium,Middle East & Africa,373.53,374.11,1
2017-10-31,2017,10,7814.82,78.61,561.03,267.65,2.41,4.04,1.28,1.65,655083,11929.51,Series,Basic,Middle East & Africa,374.11,373.88,0
2017-11-30,2017,11,8382.9,76.42,426.08,172.28,3.85,4.74,1.2,-1.49,636833,13163.42,Documentary,Premium,Latin America,373.88,373.77,0
2017-12-31,2017,12,7773.89,80.6,407.27,271.96,3.8,4.55,0.93,-0.54,671666,11574.04,Series,Premium,Latin America,373.77,374.04,1
2018-01-31,2018,1,8206.8,75.07,455.05,181.36,3.57,4.19,1.17,2.78,625583,13118.64,Reality,Basic,Europe,374.04,374.62,1
2018-02-28,2018,2,7560.25,74.66,468.67,165.65,4.4,3.58,1.06,3.9,622166,12151.5,Documentary,Premium,Europe,374.62,375.32,1
2018-03-31,2018,3,7753.7,78.11,275.12,190.8,2.68,4.14,1.09,1.84,650916,11911.98,Reality,Standard,Middle East & Africa,375.32,376.81,1
2018-04-30,2018,4,8215.21,79.83,488.92,252.49,1.89,4.2,0.92,4.35,665250,12349.06,Series,Premium,Europe,376.81,378.72,1
2018-05-31,2018,5,8381.7,81.17,334.68,125.2,3.52,4.89,0.98,2.67,676416,12391.34,Kids,Premium,Asia-Pacific,378.72,377.88,0
2018-06-30,2018,6,8215.57,76.96,499.88,139.28,3.69,4.46,1.22,-0.91,641333,12810.15,Reality,Premium,North America,377.88,377.95,1
2018-07-31,2018,7,8133.47,80.1,537.89,290.29,3.23,3.97,1.08,0.04,667500,12184.97,Movies,Basic,Middle East & Africa,377.95,378.78,1
2018-08-31,2018,8,8081.84,77.94,531.39,135.1,2.12,4.29,1.02,5.22,649500,12443.17,Kids,Standard,North America,378.78,379.96,1
2018-09-30,2018,9,7732.62,77.74,443.38,213.55,3.01,3.6,1.05,4.3,647833,11936.13,Kids,Standard,Europe,379.96,381.73,1
2018-10-31,2018,10,7964.23,79.92,432.06,215.86,2.44,4.96,1.24,5.66,666000,11958.3,Series,Premium,Latin America,381.73,381.97,1
2018-11-30,2018,11,8045.99,79.53,300.01,197.92,2.78,4.04,1.2,-0.56,662750,12140.31,Series,Basic,Middle East & Africa,381.97,383.6,1
2018-12-31,2018,12,8505.32,75.14,521.37,228.95,3.44,4.22,1.01,6.42,626166,13583.17,Documentary,Basic,Europe,383.6,383.4,0
2019-01-31,2019,1,8295.28,81.32,344.99,145.97,3.74,4.03,0.95,0.18,677666,12240.96,Documentary,Standard,Asia-Pacific,383.4,383.29,0
2019-02-28,2019,2,7667.28,81.19,423.84,210.53,2.2,4.52,1.0,-1.41,676583,11332.36,Movies,Basic,Middle East & Africa,383.29,384.89,1
2019-03-31,2019,3,8297.43,77.25,349.5,174.43,2.72,4.49,1.27,6.48,643750,12889.21,Kids,Premium,Middle East & Africa,384.89,384.85,0
2019-04-30,2019,4,8088.68,79.37,296.84,232.33,2.31,4.57,1.13,0.75,661416,12229.34,Movies,Premium,Latin America,384.85,385.78,1
2019-05-31,2019,5,8005.13,79.63,470.35,128.24,2.1,3.9,1.11,3.84,663583,12063.49,Movies,Basic,Middle East & Africa,385.78,385.38,0
2019-06-30,2019,6,8395.72,79.24,269.02,214.18,3.85,3.97,1.14,-0.09,660333,12714.37,Series,Premium,Latin America,385.38,386.01,1
2019-07-31,2019,7,8525.52,77.68,512.03,137.05,4.23,3.69,1.05,3.14,647333,13170.22,Movies,Standard,Europe,386.01,387.65,1
2019-08-31,2019,8,8499.6,77.51,361.16,155.73,2.61,4.48,1.22,5.73,645916,13158.99,Movies,Premium,Asia-Pacific,387.65,388.08,1
2019-09-30,2019,9,7972.46,78.87,250.05,143.74,3.75,3.56,1.11,1.06,657250,12130.03,Reality,Basic,Asia-Pacific,388.08,388.98,1
2019-10-31,2019,10,8135.46,81.34,428.9,136.57,4.19,4.4,0.95,3.86,677833,12002.16,Documentary,Standard,Middle East & Africa,388.98,389.1,1
2019-11-30,2019,11,8331.61,80.15,266.4,265.14,4.04,4.8,0.95,0.0,667916,12474.04,Documentary,Premium,Middle East & Africa,389.1,390.12,1
2019-12-31,2019,12,8528.9,78.39,346.66,157.14,2.05,4.84,1.11,3.5,653250,13056.1,Kids,Standard,Europe,390.12,390.42,1
2020-01-31,2020,1,8096.49,80.75,497.44,285.42,4.37,4.17,1.27,1.19,672916,12031.95,Documentary,Basic,Latin America,390.42,390.11,0
2020-02-29,2020,2,8188.55,73.58,271.94,293.99,2.63,4.19,1.02,0.19,613166,13354.54,Kids,Premium,Asia-Pacific,390.11,390.44,1
2020-03-31,2020,3,7916.35,81.64,543.77,214.25,2.52,3.62,1.25,1.01,680333,11635.99,Reality,Premium,Latin America,390.44,390.24,0
2020-04-30,2020,4,7893.39,75.93,251.34,128.6,1.69,4.51,1.21,-0.07,632750,12474.74,Documentary,Standard,Europe,390.24,391.14,1
2020-05-31,2020,5,8500.01,78.76,336.39,174.91,2.96,4.73,1.0,5.72,656333,12950.76,Reality,Premium,Asia-Pacific,391.14,391.53,1
2020-06-30,2020,6,8667.13,77.32,509.32,259.55,1.83,3.87,0.91,1.68,644333,13451.32,Documentary,Premium,Asia-Pacific,391.53,391.58,1
2020-07-31,2020,7,8242.66,77.04,360.69,173.48,2.25,4.13,0.94,0.46,642000,12839.03,Documentary,Premium,North America,391.58,392.55,1
2020-08-31,2020,8,8569.33,82.02,285.66,117.4,2.45,4.76,1.19,2.09,683500,12537.43,Reality,Premium,Europe,392.55,393.28,1
2020-09-30,2020,9,8380.76,78.83,376.08,211.36,3.93,4.82,0.98,1.06,656916,12757.73,Movies,Basic,Europe,393.28,394.0,1
2020-10-31,2020,10,8082.74,80.53,344.64,269.02,4.13,3.86,1.05,4.46,671083,12044.32,Movies,Premium,North America,394.0,395.81,1
2020-11-30,2020,11,8388.7,79.81,544.95,259.19,2.41,4.33,1.1,6.27,665083,12613.01,Movies,Standard,Latin America,395.81,396.36,1
2020-12-31,2020,12,8745.7,80.93,359.67,135.02,4.08,3.79,1.19,2.0,674416,12967.81,Movies,Basic,North America,396.36,397.94,1
2021-01-31,2021,1,8277.54,80.2,526.13,234.55,4.07,3.65,0.95,5.39,668333,12385.35,Documentary,Standard,Europe,397.94,398.68,1
2021-02-28,2021,2,8761.69,77.55,562.16,144.1,3.79,4.87,1.06,3.03,646250,13557.74,Series,Standard,Latin America,398.68,398.86,1
2021-03-31,2021,3,7510.37,82.18,401.84,143.64,1.94,4.73,1.09,-0.24,684833,10966.72,Reality,Standard,Asia-Pacific,398.86,400.31,1
2021-04-30,2021,4,8546.87,79.27,568.48,274.81,3.57,4.64,1.12,4.02,660583,12938.37,Series,Basic,North America,400.31,400.79,1
2021-05-31,2021,5,8330.42,77.21,382.06,149.93,4.34,3.57,1.23,2.61,643416,12947.18,Series,Basic,Latin America,400.79,401.99,1
2021-06-30,2021,6,8218.61,79.54,587.43,152.65,3.55,4.77,0.97,3.7,662833,12399.22,Kids,Basic,Latin America,401.99,403.45,1
2021-07-31,2021,7,8339.84,83.47,281.25,100.13,2.49,4.16,1.22,5.62,695583,11989.71,Movies,Premium,Latin America,403.45,404.33,1
2021-08-31,2021,8,7720.05,82.24,490.46,274.13,3.0,4.01,1.18,2.02,685333,11264.67,Documentary,Standard,North America,404.33,405.45,1
2021-09-30,2021,9,8254.42,79.91,422.83,258.52,3.44,4.32,1.12,5.71,665916,12395.59,Movies,Basic,Asia-Pacific,405.45,406.31,1
2021-10-31,2021,10,8431.46,79.98,385.68,225.47,3.03,3.64,1.18,4.51,666500,12650.35,Movies,Standard,Latin America,406.31,406.74,1
2021-11-30,2021,11,8771.7,80.1,471.45,250.05,1.86,4.63,1.06,2.41,667500,13141.12,Series,Basic,North America,406.74,408.17,1
2021-12-31,2021,12,8176.85,84.97,496.35,130.41,2.44,4.37,0.96,3.33,708083,11547.87,Kids,Basic,Europe,408.17,408.86,1
2022-01-31,2022,1,8093.79,81.65,251.53,191.66,3.91,3.78,1.17,1.1,680416,11895.36,Movies,Basic,North America,408.86,410.5,1
2022-02-28,2022,2,8189.81,81.82,308.43,170.24,4.08,3.78,1.11,6.37,681833,12011.46,Reality,Standard,North America,410.5,411.35,1
2022-03-31,2022,3,8618.96,83.09,499.57,118.76,1.91,3.78,1.16,3.84,692416,12447.66,Reality,Premium,North America,411.35,411.74,1
2022-04-30,2022,4,8446.97,81.57,483.23,197.23,4.36,3.59,1.04,-1.15,679750,12426.58,Movies,Basic,Latin America,411.74,412.13,1
2022-05-31,2022,5,8193.42,80.65,588.12,284.15,2.49,4.38,1.26,1.11,672083,12191.08,Series,Basic,North America,412.13,413.32,1
2022-06-30,2022,6,8510.34,80.84,516.36,108.01,3.49,4.76,1.13,3.49,673666,12632.88,Series,Basic,Europe,413.32,413.28,0
2022-07-31,2022,7,8389.48,81.16,582.77,158.29,3.76,3.53,0.93,-1.05,676333,12404.36,Documentary,Premium,Latin America,413.28,413.33,1
2022-08-31,2022,8,8654.96,81.3,495.89,141.51,3.94,3.57,1.08,-1.31,677500,12774.85,Kids,Standard,Europe,413.33,414.11,1
2022-09-30,2022,9,8157.75,82.9,354.32,147.63,4.34,4.36,1.2,2.1,690833,11808.57,Series,Standard,Middle East & Africa,414.11,414.37,1
2022-10-31,2022,10,8274.07,81.62,286.88,281.69,2.44,4.73,1.22,1.16,680166,12164.78,Documentary,Standard,North America,414.37,415.02,1
2022-11-30,2022,11,8258.74,83.05,523.64,193.61,4.08,3.99,1.1,2.01,692083,11933.16,Reality,Standard,Latin America,415.02,414.84,0
2022-12-31,2022,12,7941.33,81.5,475.45,193.26,1.9,4.02,1.26,0.6,679166,11692.77,Reality,Basic,Latin America,414.84,414.77,0
2023-01-31,2023,1,8473.22,81.88,266.87,252.12,3.62,4.39,1.01,-0.18,682333,12418.01,Reality,Premium,North America,414.77,415.73,1
2023-02-28,2023,2,8466.7,77.8,376.02,130.9,3.73,3.91,1.06,4.01,648333,13059.18,Movies,Basic,Asia-Pacific,415.73,416.8,1
2023-03-31,2023,3,8393.93,83.7,584.88,197.45,3.53,3.54,1.26,2.62,697500,12034.31,Kids,Premium,Asia-Pacific,416.8,416.65,0
2023-04-30,2023,4,8326.02,82.63,425.14,186.0,2.26,4.6,1.26,0.1,688583,12091.53,Documentary,Standard,Europe,416.65,417.41,1
2023-05-31,2023,5,7975.79,84.0,401.46,219.38,4.12,4.44,1.17,1.06,700000,11393.99,Kids,Premium,North America,417.41,417.76,1
2023-06-30,2023,6,8278.21,76.28,410.19,299.91,2.01,4.37,1.24,3.23,635666,13022.89,Movies,Basic,North America,417.76,417.61,0
2023-07-31,2023,7,8305.59,86.32,323.11,253.89,1.66,4.61,0.94,-0.92,719333,11546.24,Documentary,Basic,Middle East & Africa,417.61,417.79,1
2023-08-31,2023,8,8171.73,81.94,379.05,179.57,3.65,4.51,1.25,-0.32,682833,11967.39,Documentary,Standard,Asia-Pacific,417.79,418.4,1
2023-09-30,2023,9,8368.03,84.5,379.43,265.51,2.93,3.81,1.03,-0.91,704166,11883.6,Series,Basic,Asia-Pacific,418.4,419.67,1
2023-10-31,2023,10,8541.64,80.28,268.32,134.14,4.05,4.03,0.97,5.0,669000,12767.77,Kids,Basic,North America,419.67,420.75,1
2023-11-30,2023,11,8990.28,83.65,518.65,106.09,2.65,3.69,1.0,4.52,697083,12897.0,Kids,Premium,Europe,420.75,422.15,1
2023-12-31,2023,12,8480.8,80.39,395.78,140.89,2.0,3.69,1.07,4.53,669916,12659.5,Series,Basic,North America,422.15,423.28,1
2024-01-31,2024,1,8509.7,81.32,537.76,168.08,4.01,4.51,1.0,4.23,677666,12557.37,Reality,Standard,Europe,423.28,424.99,1
2024-02-29,2024,2,8414.1,86.47,547.62,202.12,3.15,4.79,1.03,3.86,720583,11676.8,Movies,Standard,Asia-Pacific,424.99,426.34,1
2024-03-31,2024,3,7864.81,82.33,324.2,223.03,2.07,4.94,0.95,2.32,686083,11463.35,Kids,Basic,Middle East & Africa,426.34,427.72,1
2024-04-30,2024,4,8436.49,83.21,480.07,282.12,3.66,4.44,1.02,3.64,693416,12166.56,Series,Standard,Latin America,427.72,427.94,1
2024-05-31,2024,5,8466.52,84.59,415.3,201.97,3.03,3.78,1.13,-1.19,704916,12010.68,Documentary,Premium,Asia-Pacific,427.94,429.39,1
2024-06-30,2024,6,9191.43,83.91,558.05,200.26,3.31,3.66,1.08,3.47,699250,13144.7,Series,Premium,Europe,429.39,431.3,1
2024-07-31,2024,7,8398.75,83.29,325.51,110.05,2.88,4.72,1.04,4.72,694083,12100.5,Reality,Basic,North America,431.3,432.21,1
2024-08-31,2024,8,8550.92,83.79,487.23,106.98,3.99,4.37,1.2,2.5,698250,12246.22,Movies,Basic,Asia-Pacific,432.21,433.17,1
2024-09-30,2024,9,8454.05,87.93,462.71,210.23,3.99,4.43,1.26,1.36,732750,11537.43,Reality,Premium,Middle East & Africa,433.17,433.62,1
2024-10-31,2024,10,8117.87,83.08,353.36,187.64,3.63,4.67,1.2,0.72,692333,11725.38,Documentary,Standard,Europe,433.62,435.08,1
2024-11-30,2024,11,8815.32,83.67,297.81,267.84,1.82,4.55,1.03,3.64,697250,12642.98,Documentary,Basic,North America,435.08,437.41,1
2024-12-31,2024,12,8702.06,85.44,478.07,132.14,4.02,4.75,1.2,4.04,712000,12221.99,Documentary,Basic,Latin America,437.41,439.37,1
2025-01-31,2025,1,8717.79,85.62,508.51,104.99,3.51,3.58,0.96,5.47,713500,12218.35,Documentary,Standard,Europe,439.37,439.83,1
2025-02-28,2025,2,8211.67,85.85,360.47,189.81,3.59,4.62,0.95,1.24,715416,11478.17,Series,Basic,North America,439.83,441.49,1
2025-03-31,2025,3,8909.33,84.83,475.69,147.5,2.59,4.78,1.04,4.66,706916,12603.1,Documentary,Standard,Latin America,441.49,442.18,1
2025-04-30,2025,4,8071.94,81.33,388.3,109.92,4.14,3.93,1.22,2.99,677750,11909.91,Documentary,Standard,North America,442.18,444.1,1
2025-05-31,2025,5,8672.55,86.96,499.62,244.92,3.68,4.46,1.0,5.56,724666,11967.65,Series,Standard,Latin America,444.1,445.49,1
2025-06-30,2025,6,9157.64,81.47,319.73,122.32,1.84,3.97,0.93,2.72,678916,13488.62,Documentary,Standard,Latin America,445.49,447.05,1
2025-07-31,2025,7,8207.34,84.43,561.58,221.66,2.72,4.94,0.95,2.64,703583,11665.06,Reality,Standard,Latin America,447.05,447.83,1
2025-08-31,2025,8,8338.62,82.39,350.59,156.21,4.16,3.55,1.24,3.12,686583,12145.1,Reality,Premium,North America,447.83,448.85,1
2025-09-30,2025,9,8542.41,83.84,378.73,134.7,1.64,4.37,1.15,4.49,698666,12226.74,Kids,Standard,Latin America,448.85,450.84,1
2025-10-31,2025,10,8365.47,84.7,270.33,175.95,4.38,3.75,1.0,6.22,705833,11851.91,Reality,Premium,Europe,450.84,450.79,0
2025-11-30,2025,11,8055.32,84.75,289.03,260.29,3.54,4.57,1.12,-0.91,706250,11405.76,Movies,Standard,Middle East & Africa,450.79,450.91,1
2025-12-31,2025,12,8545.09,85.02,430.55,178.42,3.39,3.76,1.11,-1.07,708500,12060.82,Movies,Basic,Middle East & Africa,450.91,452.74,1
2026-01-31,2026,1,8209.84,87.48,343.66,250.15,2.31,3.85,1.16,6.0,729000,11261.78,Movies,Premium,Latin America,452.74,454.33,1
2026-02-28,2026,2,8674.61,85.23,542.42,125.1,2.25,4.24,0.99,2.74,710250,12213.46,Series,Basic,Middle East & Africa,454.33,455.49,1
2026-03-31,2026,3,8260.71,83.9,255.14,254.55,4.33,4.87,1.25,3.42,699166,11815.09,Reality,Standard,Middle East & Africa,455.49,456.46,1
2026-04-30,2026,4,9005.52,86.39,382.68,147.39,2.39,3.82,1.02,2.36,719916,12509.13,Movies,Standard,Latin America,456.46,456.16,0
2026-05-31,2026,5,8309.57,86.91,368.07,235.48,3.83,3.72,1.18,-0.75,724250,11473.34,Kids,Basic,Latin America,456.16,457.78,1
2026-06-30,2026,6,8451.93,82.14,256.76,213.16,2.68,4.64,0.91,4.64,684500,12347.6,Series,Standard,Europe,457.78,459.37,1
2026-07-31,2026,7,8796.61,85.86,293.53,285.83,1.92,4.25,1.05,4.48,715500,12294.35,Kids,Basic,Asia-Pacific,459.37,460.09,1
2026-08-31,2026,8,8187.3,86.14,394.77,177.46,1.53,4.87,1.04,0.99,717833,11405.58,Reality,Standard,North America,460.09,460.86,1
2026-09-30,2026,9,8628.8,84.21,422.5,113.23,3.13,3.72,1.12,0.95,701750,12296.12,Documentary,Standard,Latin America,460.86,462.53,1
2026-10-31,2026,10,8956.71,87.63,391.5,103.83,4.43,4.47,0.93,5.2,730250,12265.27,Kids,Premium,Latin America,462.53,462.22,0
2026-11-30,2026,11,8086.32,84.65,435.83,265.37,2.61,3.85,1.22,-0.92,705416,11463.19,Documentary,Basic,Middle East & Africa,462.22,464.08,1
2026-12-31,2026,12,8627.96,85.27,458.3,204.95,2.57,3.74,0.99,5.55,710583,12142.09,Series,Standard,Europe,464.08,464.38,1
2027-01-31,2027,1,8654.54,84.74,253.47,255.05,2.53,4.53,1.17,0.55,706166,12255.67,Kids,Basic,Middle East & Africa,464.38,465.41,1
2027-02-28,2027,2,8815.13,85.19,412.43,146.89,3.06,4.39,1.22,3.24,709916,12417.15,Kids,Premium,Latin America,465.41,467.19,1
2027-03-31,2027,3,8213.5,83.04,587.22,169.02,2.82,4.63,1.12,5.99,692000,11869.22,Series,Basic,Latin America,467.19,468.51,1
2027-04-30,2027,4,8192.45,82.42,431.66,106.02,4.14,3.96,1.2,3.92,686833,11927.86,Series,Premium,Middle East & Africa,468.51,469.42,1
2027-05-31,2027,5,8749.18,88.56,487.14,292.3,3.02,4.17,1.16,1.82,738000,11855.26,Movies,Basic,Latin America,469.42,470.2,1
2027-06-30,2027,6,8685.69,83.75,359.15,233.57,3.02,4.11,1.04,4.02,697916,12445.18,Reality,Basic,Asia-Pacific,470.2,470.6,1
2027-07-31,2027,7,8675.75,83.53,520.9,286.64,1.92,4.98,1.22,1.25,696083,12463.67,Kids,Premium,North America,470.6,471.2,1
2027-08-31,2027,8,8708.54,81.27,520.52,153.1,4.45,3.94,1.02,0.72,677250,12858.68,Kids,Standard,North America,471.2,473.32,1
2027-09-30,2027,9,8404.6,84.37,432.45,222.29,2.25,3.94,1.13,6.47,703083,11953.92,Series,Standard,North America,473.32,474.86,1
2027-10-31,2027,10,8682.29,83.07,591.6,235.7,1.72,4.03,1.2,4.51,692250,12542.13,Series,Standard,Asia-Pacific,474.86,476.79,1
2027-11-30,2027,11,8704.54,89.07,293.94,163.51,3.49,4.35,1.05,3.66,742250,11727.23,Reality,Basic,Latin America,476.79,477.7,1
2027-12-31,2027,12,8406.32,87.88,255.93,269.62,3.29,3.88,1.02,1.34,732333,11478.82,Series,Basic,Middle East & Africa,477.7,477.98,1
2028-01-31,2028,1,9184.36,84.55,519.56,289.43,2.75,4.87,1.08,-1.11,704583,13035.17,Documentary,Standard,Europe,477.98,477.85,0
2028-02-29,2028,2,8770.78,90.51,532.5,276.97,2.77,3.9,1.23,-1.25,754250,11628.48,Documentary,Basic,Latin America,477.85,478.34,1
2028-03-31,2028,3,8275.24,88.03,292.07,247.81,3.86,4.84,1.27,2.93,733583,11280.58,Documentary,Basic,Asia-Pacific,478.34,479.42,1
2028-04-30,2028,4,8833.6,85.49,342.95,155.49,2.09,3.66,1.12,4.6,712416,12399.5,Documentary,Standard,Asia-Pacific,479.42,480.08,1
2028-05-31,2028,5,8348.24,81.21,256.14,156.32,3.96,4.48,1.16,2.8,676750,12335.78,Reality,Premium,North America,480.08,481.57,1
2028-06-30,2028,6,8880.77,90.86,352.66,292.67,3.45,4.86,1.26,5.23,757166,11728.96,Kids,Basic,Latin America,481.57,481.66,1
2028-07-31,2028,7,8996.23,83.57,520.6,102.06,2.76,3.75,0.94,-1.23,696416,12917.9,Documentary,Basic,North America,481.66,482.35,1
2028-08-31,2028,8,8406.45,83.13,431.29,243.21,2.87,4.95,0.99,1.43,692750,12134.9,Series,Basic,Europe,482.35,483.23,1
2028-09-30,2028,9,8945.67,88.54,371.83,241.25,2.27,4.18,1.18,0.4,737833,12124.25,Documentary,Basic,North America,483.23,484.13,1
2028-10-31,2028,10,8784.49,91.44,380.11,224.54,3.76,4.92,1.23,2.08,762000,11528.2,Reality,Premium,Europe,484.13,484.44,1
2028-11-30,2028,11,8911.28,89.4,250.47,298.02,3.04,4.52,1.24,-0.92,745000,11961.45,Series,Standard,Asia-Pacific,484.44,486.44,1
2028-12-31,2028,12,9237.71,87.83,354.93,162.38,2.46,3.95,1.07,6.13,731916,12621.27,Documentary,Basic,North America,486.44,486.87,1
2029-01-31,2029,1,8599.06,87.96,476.26,167.99,3.29,3.78,0.94,0.29,733000,11731.32,Kids,Standard,North America,486.87,488.69,1
2029-02-28,2029,2,8450.56,88.55,590.97,115.79,4.49,3.96,1.08,5.88,737916,11451.93,Series,Basic,Middle East & Africa,488.69,489.14,1
2029-03-31,2029,3,8413.83,88.43,546.47,188.56,2.81,3.64,0.99,1.91,736916,11417.62,Series,Premium,Asia-Pacific,489.14,491.5,1
2029-04-30,2029,4,8439.94,87.54,258.26,152.21,4.26,3.72,1.02,6.38,729500,11569.49,Kids,Standard,Middle East & Africa,491.5,492.99,1
2029-05-31,2029,5,8665.56,87.26,564.5,168.68,2.54,3.66,1.21,2.93,727166,11916.89,Series,Premium,Europe,492.99,495.05,1
2029-06-30,2029,6,8795.04,87.0,524.12,266.91,1.66,4.13,0.93,5.95,725000,12131.09,Documentary,Basic,Europe,495.05,495.03,0
2029-07-31,2029,7,8779.7,85.68,523.13,287.1,2.11,4.69,1.23,-1.46,714000,12296.5,Series,Premium,Asia-Pacific,495.03,496.55,1
2029-08-31,2029,8,8948.86,86.7,410.3,137.15,2.76,3.71,1.07,4.49,722500,12385.97,Documentary,Premium,Europe,496.55,497.99,1
2029-09-30,2029,9,8708.61,83.95,389.3,174.5,2.16,3.7,1.14,5.72,699583,12448.29,Kids,Basic,Asia-Pacific,497.99,498.82,1
2029-10-31,2029,10,9144.77,87.21,356.02,285.73,1.5,4.47,0.94,-0.38,726750,12583.1,Movies,Basic,Europe,498.82,499.19,1
